Model,Query,Rank,Neighbor,Cosine Similarity
CBOW (Scratch),research,1,projects,0.9993
CBOW (Scratch),research,2,publication,0.9992
CBOW (Scratch),research,3,project,0.9992
CBOW (Scratch),research,4,ongoing,0.9991
CBOW (Scratch),research,5,collaborations,0.9989
CBOW (Scratch),student,1,academic,0.999
CBOW (Scratch),student,2,program,0.9987
CBOW (Scratch),student,3,course,0.9967
CBOW (Scratch),student,4,minimum,0.9936
CBOW (Scratch),student,5,students,0.9932
CBOW (Scratch),phd,1,assistant,0.9993
CBOW (Scratch),phd,2,associate,0.9903
CBOW (Scratch),phd,3,tata,0.9825
CBOW (Scratch),phd,4,kanpur,0.9764
CBOW (Scratch),phd,5,bombay,0.9735
CBOW (Scratch),examination,1,thesis,0.9999
CBOW (Scratch),examination,2,two,0.9998
CBOW (Scratch),examination,3,following,0.9998
CBOW (Scratch),examination,4,src,0.9998
CBOW (Scratch),examination,5,category,0.9998
CBOW (Gensim),research,1,alumni,0.9894
CBOW (Gensim),research,2,home,0.989
CBOW (Gensim),research,3,faqs,0.9885
CBOW (Gensim),research,4,area,0.9882
CBOW (Gensim),research,5,applicants,0.987
CBOW (Gensim),student,1,course,0.9978
CBOW (Gensim),student,2,regular,0.9975
CBOW (Gensim),student,3,register,0.9972
CBOW (Gensim),student,4,maximum,0.9971
CBOW (Gensim),student,5,categories,0.9964
CBOW (Gensim),phd,1,associate,0.999
CBOW (Gensim),phd,2,kumar,0.9986
CBOW (Gensim),phd,3,delhi,0.998
CBOW (Gensim),phd,4,bangalore,0.9977
CBOW (Gensim),phd,5,bombay,0.9977
CBOW (Gensim),examination,1,allowed,0.9987
CBOW (Gensim),examination,2,satisfactory,0.9987
CBOW (Gensim),examination,3,grades,0.9986
CBOW (Gensim),examination,4,permitted,0.9986
CBOW (Gensim),examination,5,examiners,0.9986
Skip-gram (Scratch),research,1,projects,0.7622
Skip-gram (Scratch),research,2,ongoing,0.7377
Skip-gram (Scratch),research,3,publication,0.7355
Skip-gram (Scratch),research,4,labs,0.7307
Skip-gram (Scratch),research,5,groups,0.7296
Skip-gram (Scratch),student,1,dugc,0.8043
Skip-gram (Scratch),student,2,may,0.7881
Skip-gram (Scratch),student,3,submit,0.7727
Skip-gram (Scratch),student,4,considered,0.7697
Skip-gram (Scratch),student,5,committee,0.7685
Skip-gram (Scratch),phd,1,selected,0.8254
Skip-gram (Scratch),phd,2,provisionally,0.7822
Skip-gram (Scratch),phd,3,paul,0.7819
Skip-gram (Scratch),phd,4,sme,0.7793
Skip-gram (Scratch),phd,5,singh,0.767
Skip-gram (Scratch),examination,1,submission,0.9438
Skip-gram (Scratch),examination,2,report,0.9179
Skip-gram (Scratch),examination,3,satisfactory,0.9174
Skip-gram (Scratch),examination,4,day,0.9169
Skip-gram (Scratch),examination,5,letter,0.9159
Skip-gram (Gensim),research,1,publications,0.8858
Skip-gram (Gensim),research,2,ongoing,0.885
Skip-gram (Gensim),research,3,facilities,0.8829
Skip-gram (Gensim),research,4,publication,0.8824
Skip-gram (Gensim),research,5,proposal,0.8783
Skip-gram (Gensim),student,1,dugc,0.956
Skip-gram (Gensim),student,2,would,0.9405
Skip-gram (Gensim),student,3,submit,0.938
Skip-gram (Gensim),student,4,assigned,0.9355
Skip-gram (Gensim),student,5,synopsis,0.9353
Skip-gram (Gensim),phd,1,news,0.8812
Skip-gram (Gensim),phd,2,professor,0.8656
Skip-gram (Gensim),phd,3,selected,0.8618
Skip-gram (Gensim),phd,4,bsbe,0.8495
Skip-gram (Gensim),phd,5,sme,0.8451
Skip-gram (Gensim),examination,1,comprehensive,0.9741
Skip-gram (Gensim),examination,2,report,0.9529
Skip-gram (Gensim),examination,3,submission,0.9428
Skip-gram (Gensim),examination,4,examiners,0.9377
Skip-gram (Gensim),examination,5,examiner,0.9289
